University,Teaching Score,International Outlook,Student Staff Ratio (%),International Students (%),year
Indian Institute of Technology Roorkee,30.4,15.6,18.7,0.01,2013
Keio University,32.5,22.2,11.9,0.05,2013
Leibniz University of Hanover,36.6,48.2,62.7,0.12,2013
Loughborough University,33.4,63.9,15.9,0.22,2013
National Autonomous University of Mexico,31,33.2,11.6,0.05,2013
Temple University,37.2,20.1,13.3,0.05,2013
University of Houston,37.5,32.6,43.7,0.09,2013
University of Oklahoma,36.8,24.2,,,2013
University of Surrey,31.1,80.4,16.6,0.38,2013
"Birkbeck, University of London",31.3,83.5,17.2,0.38,2014
City University of Hong Kong,30.9,65.9,7.1,0.28,2014
Fudan University,41.6,37.9,12.2,0.11,2014
Korea University,46.2,35.5,15.8,0.14,2014
Laval University,37.7,54,16.2,0.12,2014
Middle East Technical University,39.2,31.2,22.2,0.07,2014
Nagoya University,37.4,28,7.9,0.1,2014
Sungkyunkwan University (SKKU),37.6,33.7,20.3,0.09,2014
Technion Israel Institute of Technology,35.1,59.7,19.4,0.04,2014
Ulm University,38.6,54.6,11.2,0.1,2014
University of Bergen,30.8,62.9,11.1,0.12,2014
University of Calgary,32.8,62.9,16.5,0.17,2014
University of Science and Technology of China,38.7,25.8,7.9,0.02,2014
University of TÌ_bingen,31.1,56.6,38.9,0.12,2014
William & Mary,37.2,26,11.8,0.07,2014
Autonomous University of Barcelona,30.6,48.3,12.3,0.1,2014
Georgia Health Sciences University,47.2,30.8,,,2014
Lomonosov Moscow State University,54.4,55.7,7.7,0.2,2014
Queen‰Ûªs University,36.2,59.8,22.1,0.1,2014
Renmin University of China,35.5,48.4,12.7,0.06,2014
Technical University of Darmstadt,37.6,66.3,53.6,0.18,2014
Tilburg University,32,57.6,22.4,0.1,2014
Tulane University,43,29,8.4,0.08,2014
University of Cincinnati,31.8,25.4,15.7,0.06,2014
University of Erlangen-Nuremberg,32.7,49.6,53.9,0.09,2014
University of SÌ£o Paulo,47.2,24.9,14.6,0.04,2014
University of Western Ontario,37.3,62.7,20.7,0.16,2014
Vienna University of Technology,39.2,72.4,52,0.27,2014
Dalhousie University,32.6,59.1,14.4,0.18,2014
Nanjing University,36.8,50.8,13.3,0.1,2014
National Chiao Tung University,37.3,28.9,16.6,0.05,2014
National Tsing Hua University,39.5,21.5,13.5,0.05,2014
Norwegian University of Science and Technology,32.2,54.2,13.9,0.09,2014
University of Essex,30.6,82.4,19.8,0.39,2014
University of Nebraska-Lincoln,32.6,42,16.4,0.09,2014
University of South Carolina,34.6,34.4,16.3,0.01,2014
Creighton University,41.3,21.7,8.3,0.02,2014
Tokyo Medical and Dental University (TMDU),43.3,22,3.3,0.07,2014
University of Bologna,30.7,40.7,22.9,0.07,2014
University of Georgia,39.6,35,19.9,0.07,2014
University of Kansas,33.9,33.6,,,2014
Virginia Polytechnic Institute and State University,33.7,27.5,18.6,0.1,2014
Drexel University,33.9,38.2,10.8,0.18,2014
Hokkaido University,41,24.6,8.2,0.09,2014
Kyushu University,38.6,24.5,6.7,0.08,2014
National Cheng Kung University,31.5,24.9,14.4,0.11,2014
Shanghai Jiao Tong University,35.7,22.8,12.8,0.06,2014
State University of Campinas,41.3,19,15.3,0.03,2014
University of Connecticut,36.1,38.7,13,0.11,2014
University of Houston,37,31.5,43.7,0.09,2014
University of Manitoba,30.8,40,27.8,0.11,2014
University of Missouri,32.6,28.9,14.1,0.05,2014
University of Salento,31,37.4,58.4,0.01,2014
University of Tsukuba,36.6,32.6,12.6,0.16,2014
Wayne State University,35.3,28.2,10.7,0.07,2014
Zhejiang University,35.9,21,15.9,0.05,2014
Hanyang University,30.4,42.9,10.4,0.19,2014
Indian Institute of Technology Delhi,33.8,15.3,17.3,0.01,2014
Indian Institute of Technology Kanpur,31.3,17.3,12.2,0,2014
Indian Institute of Technology Kharagpur,39.3,14.7,17.5,0,2014
Leibniz University of Hanover,30.9,47.2,62.7,0.12,2014
Loughborough University,30.5,65.4,15.9,0.22,2014
Temple University,35.4,22.4,13.3,0.05,2014
University of Oklahoma,34.1,26.7,,,2014
University of Surrey,31.1,83.5,16.6,0.38,2014
Cardiff University,30.5,69.3,13.1,0.23,2015
Hebrew University of Jerusalem,41.5,53.3,10.7,0.05,2015
Hong Kong Polytechnic University,33.7,69.9,25.9,0.26,2015
Korea University,48.9,35.9,15.8,0.14,2015
Newcastle University,30.3,73.8,15.2,0.29,2015
Technion Israel Institute of Technology,36.9,60.6,19.4,0.04,2015
Ulm University,35,54.1,11.2,0.1,2015
University of Illinois at Chicago,43,53.4,9.2,0.17,2015
University of Reading,32.8,75,14.8,0.28,2015
University of Science and Technology of China,36.9,26.3,7.9,0.02,2015
University of SÌ£o Paulo,51.6,25.3,14.6,0.04,2015
University of Twente,32.3,67.2,12,0.26,2015
Wake Forest University,33.3,26,4.6,0.05,2015
William & Mary,36.8,26.5,11.8,0.07,2015
Yonsei University,44.5,35.7,11.6,0.14,2015
Autonomous University of Barcelona,30.4,46.4,12.3,0.1,2015
Dalhousie University,33.6,71.6,14.4,0.18,2015
Laval University,35.8,55.7,16.2,0.12,2015
Mines ParisTech,39.6,58.7,5.6,0.22,2015
Nagoya University,37.5,31.8,7.9,0.1,2015
Rensselaer Polytechnic Institute,30.9,42.8,15,0.16,2015
Technical University of Berlin,42.2,70.4,,,2015
University College Dublin,31.7,79.4,24.5,0.23,2015
University of Calgary,34.4,63.1,16.5,0.17,2015
University of Kiel,31.1,44.2,23.8,0.08,2015
University of Konstanz,30.5,57,59.1,0.12,2015
University of Western Ontario,38.3,63.7,20.7,0.16,2015
Vienna University of Technology,43.3,75.9,52,0.27,2015
Aalto University,31.8,59.4,24.2,0.17,2015
Nanjing University,34.6,50.2,13.3,0.1,2015
National Tsing Hua University,39.4,24.8,13.5,0.05,2015
Queen‰Ûªs University,37.3,55.4,22.1,0.1,2015
Queen‰Ûªs University Belfast,30.1,88.6,17.9,0.3,2015
Technical University of Darmstadt,36.9,59.6,53.6,0.18,2015
University of Bremen,33.9,53,25.6,0.11,2015
University of Hawai‰Ûªi at M€Ånoa,35.1,59.4,,,2015
University of MÌ_nster,30.6,48.2,46.1,0.08,2015
University of Salento,32.3,40.3,58.4,0.01,2015
University of Waterloo,30.9,63.1,24.2,0.14,2015
Chalmers University of Technology,35.7,62.5,11.6,0.15,2015
Indian Institute of Science,32.6,18.2,8.2,0.01,2015
National Chiao Tung University,35,30.7,16.6,0.05,2015
Norwegian University of Science and Technology,33.5,54.7,13.9,0.09,2015
Shanghai Jiao Tong University,37.9,23.9,12.8,0.06,2015
Tilburg University,33,62.2,22.4,0.1,2015
Tokyo Medical and Dental University (TMDU),42.7,21.8,3.3,0.07,2015
University of Bologna,31,43.1,22.9,0.07,2015
University of Cincinnati,32,26,15.7,0.06,2015
University of Georgia,39.7,35.3,19.9,0.07,2015
University of Nebraska-Lincoln,31,47.8,16.4,0.09,2015
University of South Carolina,34.5,37.3,16.3,0.01,2015
Virginia Polytechnic Institute and State University,40.1,28.9,18.6,0.1,2015
Charles University in Prague,31.5,53.9,13,0.15,2015
Creighton University,40.7,29.1,8.3,0.02,2015
Drexel University,31.8,42.2,10.8,0.18,2015
Illinois Institute of Technology,40.2,59.4,,,2015
Renmin University of China,34.9,44.4,12.7,0.06,2015
Sapienza University of Rome,32.3,37.5,32.3,0.07,2015
State University of Campinas,43.4,20.7,15.3,0.03,2015
Sun Yat-sen University,32.5,37,16.6,0.08,2015
Tulane University,40.7,29.7,8.4,0.08,2015
University of Connecticut,37.6,38.8,13,0.11,2015
University of Essex,31.6,86.7,19.8,0.39,2015
University of Houston,39.3,33.1,43.7,0.09,2015
University of Kansas,30.6,32.2,,,2015
University of Manitoba,31.6,43.4,27.8,0.11,2015
University of Nebraska Medical Center,36.4,34.8,2.6,0.08,2015
University of Oklahoma,32.6,30,,,2015
University of Stuttgart,30.6,59.3,45.4,0.2,2015
University of Tsukuba,33.4,36.1,12.6,0.16,2015
Wayne State University,32,30.7,10.7,0.07,2015
Zhejiang University,36,21.5,15.9,0.05,2015
Hanyang University,31.5,48.4,10.4,0.19,2015
Hokkaido University,38.4,25.2,8.2,0.09,2015
Indian Institute of Technology Bombay,34.2,19.5,14.9,0.01,2015
Kyushu University,36.5,26.1,6.7,0.08,2015
National Cheng Kung University,31.8,26.7,14.4,0.11,2015
Ruhr University Bochum,31.5,53.6,46.3,0.13,2015
University of Lisbon,30.1,46.8,17.5,0.09,2015
University of Missouri,31.7,29.6,14.1,0.05,2015
Vrije Universiteit Brussel,31.2,54.5,17.1,0.16,2015
Wuhan University,34.1,33.1,14.4,0.07,2015
"Birkbeck, University of London",33.5,89.9,17.2,0.38,2016
University of Bologna,39.3,39.9,22.9,0.07,2016
University at Buffalo,36.5,60.6,19,0.19,2016
University of Calgary,33.9,70.1,16.5,0.17,2016
Chalmers University of Technology,36.6,77.6,11.6,0.15,2016
City University of Hong Kong,32.1,81.6,7.1,0.28,2016
Dalhousie University,30.4,78.3,14.4,0.18,2016
University of Duisburg-Essen,32.3,48.5,46.6,0.11,2016
Ìäcole Normale SupÌ©rieure de Lyon,41.6,65.6,8,0.14,2016
Florida State University,38.5,41.6,31.8,0.07,2016
University of Fribourg,32.3,87.4,46.9,0.19,2016
Fudan University,44.7,38.6,12.2,0.11,2016
George Washington University,44.7,48.1,12,0.16,2016
Goethe University Frankfurt,35.8,60.2,9.3,0.15,2016
University of Hawai‰Ûªi at M€Ånoa,32,63.4,,,2016
University of Illinois at Chicago,40.9,58.1,9.2,0.17,2016
Indiana University,43,41.2,13.6,0.13,2016
University of Iowa,41,32.3,11.6,0.11,2016
Johannes Gutenberg University of Mainz,34.9,53.3,32.6,0.1,2016
Joseph Fourier University,34.2,58.6,12.1,0.13,2016
University of Kiel,32.3,49.4,23.8,0.08,2016
Laval University,37.5,63.8,16.2,0.12,2016
Northeastern University,35.5,58.7,15.1,0.26,2016
University of Otago,30.7,89.9,20.3,0.21,2016
University of Ottawa,37.1,69.9,26.3,0.15,2016
Peter the Great St Petersburg Polytechnic University,30.8,29.6,7.2,0.08,2016
Polytechnic University of Milan,30.1,48.8,22.2,0.12,2016
Rush University,37.7,21.8,2.1,0.05,2016
Sapienza University of Rome,38,34.7,32.3,0.07,2016
University of Science and Technology of China,46.7,21.4,7.9,0.02,2016
Stony Brook University,32.6,53.2,10.9,0.24,2016
University of Stuttgart,40,52.7,45.4,0.2,2016
Swedish University of Agricultural Sciences,31.5,40.1,4.6,,2016
Technical University of Darmstadt,37.1,54.4,53.6,0.18,2016
Tel Aviv University,41,47.5,24.4,0.04,2016
Tilburg University,34.1,71.6,22.4,0.1,2016
Tohoku University,45.3,29.3,5,0.07,2016
Tokyo Institute of Technology,45.6,31.9,7.3,0.13,2016
Wake Forest University,34.6,24.2,4.6,0.05,2016
University of Western Ontario,38.6,73.6,20.7,0.16,2016
William & Mary,38.5,26.6,11.8,0.07,2016
Aalto University,31.1,65.4,24.2,0.17,2016
Aix-Marseille University,36.7,63,45.5,0.13,2016
Bayreuth University,32.2,52.6,35.5,0.08,2016
Bielefeld University,35.2,45.4,67.8,0.08,2016
Colorado State University,31.6,34.5,19,0.05,2016
University of Georgia,41.1,39.2,19.9,0.07,2016
Indian Institute of Science,42.7,16.4,8.2,0.01,2016
Iowa State University,31.2,35.4,17.4,0.11,2016
Justus Liebig University Giessen,32.9,46.8,53.9,0.09,2016
Korea University,43.9,40.2,15.8,0.14,2016
Nanjing University,37.2,50.4,13.3,0.1,2016
National Tsing Hua University,37.7,23.2,13.5,0.05,2016
North Carolina State University,36.1,49,13.6,0.11,2016
Oregon State University,30.6,42.8,16.8,0.09,2016
Osaka University,46.8,26.6,7.8,0.09,2016
Queen‰Ûªs University,35.8,61.6,22.1,0.1,2016
Rensselaer Polytechnic Institute,30.4,40.3,15,0.16,2016
Ruhr University Bochum,32.8,51.7,46.3,0.13,2016
Saint Louis University,36.9,26.6,5.8,0.08,2016
University of SÌ£o Paulo,59.1,25.3,14.6,0.04,2016
University of Surrey,31.7,90.4,16.6,0.38,2016
Syracuse University,31.4,38.3,15.9,0.15,2016
Tomsk Polytechnic University,31.6,32.7,6.9,0.17,2016
Tulane University,39.1,35.3,8.4,0.08,2016
Vienna University of Technology,34.1,77.3,52,0.27,2016
Virginia Polytechnic Institute and State University,34.9,29.5,18.6,0.1,2016
Zhejiang University,44.3,19.6,15.9,0.05,2016
Autonomous University of Madrid,35.6,48.6,13,0.15,2016
University of Bremen,30.9,50,25.6,0.11,2016
University of Cincinnati,31.3,28.3,15.7,0.06,2016
University of Connecticut,35.9,43.1,13,0.11,2016
University of Essex,33.9,93.7,19.8,0.39,2016
University of Greifswald,30.1,41.7,24,0.06,2016
Gwangju Institute of Science and Technology,35.2,36.2,9.6,0.08,2016
University of Hohenheim,30.9,50.3,41.2,0.13,2016
Leibniz University of Hanover,36.5,43.2,62.7,0.12,2016
University of Milan,30.5,37.7,24.3,0.05,2016
Montpellier University,38.7,54.4,18.4,0.14,2016
Nagoya University,40.8,27.4,7.9,0.1,2016
National Chiao Tung University,32.9,32,16.6,0.05,2016
National Research Nuclear University MePhI,43.9,27.5,7.3,0.07,2016
National Taiwan University of Science and Technology (Taiwan Tech),31.7,30.5,17.4,0.11,2016
University of Navarra,31.9,52.6,10.6,0.16,2016
University of Nebraska-Lincoln,30.1,45.8,16.4,0.09,2016
Shanghai Jiao Tong University,37.8,27.5,12.8,0.06,2016
Technical University of Dortmund,34.2,40.8,88.9,0.1,2016
Technion Israel Institute of Technology,30.8,61.9,19.4,0.04,2016
Yonsei University,37.2,41.5,11.6,0.14,2016
York University,30.2,58.2,39.4,0.09,2016
Drexel University,31.2,46.3,10.8,0.18,2016
Hanyang University,33.9,54.3,10.4,0.19,2016
University of Houston,34.9,33.9,43.7,0.09,2016
Indian Institute of Technology Bombay,37.8,17.7,14.9,0.01,2016
Loughborough University,31.2,72.9,15.9,0.22,2016
University of Missouri,31.2,31,14.1,0.05,2016
University of Montana,30.8,21.5,15.2,0.03,2016
University of Nebraska Medical Center,37,37.7,2.6,0.08,2016
PanthÌ©on-Sorbonne University ‰ÛÒ Paris 1,53.2,47.6,34.3,0.2,2016
University of South Carolina,31.1,24.5,16.3,0.01,2016
State University of Campinas,44.6,21.1,15.3,0.03,2016
Sun Yat-sen University,31.9,37,16.6,0.08,2016
Temple University,34,28.6,13.3,0.05,2016
Wayne State University,31.9,29.6,10.7,0.07,2016
American University,42.2,28.9,12,0.12,2016
Bournemouth University,32,70.6,25.9,0.18,2016
Charles University in Prague,31.5,52.8,13,0.15,2016
Complutense University of Madrid,33.2,39.1,17.5,0.13,2016
Hokkaido University,40.3,27.9,8.2,0.09,2016
Howard University,38.8,30.3,6.8,0.05,2016
Indian Institute of Technology Delhi,35.8,15.5,17.3,0.01,2016
Indian Institute of Technology Kharagpur,33.2,13.3,17.5,0,2016
Indian Institute of Technology Madras,34.6,16.1,15.9,0.01,2016
Kyushu University,36.5,26.4,6.7,0.08,2016
National Autonomous University of Mexico,42.7,35.9,11.6,0.05,2016
National Yang-Ming University,41.5,15.8,5.4,0.02,2016
Novosibirsk State University,41.4,32.4,7.1,0.13,2016
University of Porto,32,45.4,18.8,0.09,2016
Saint Petersburg State University,47.9,33,5.2,0.07,2016
University of San Francisco,34.2,40.1,17,0.17,2016
University of Saskatchewan,30.8,52.9,16.3,0.14,2016
Tokyo Medical and Dental University (TMDU),39.3,23.1,3.3,0.07,2016
University of Tsukuba,40,34.4,12.6,0.16,2016
Wuhan University,38.2,36.7,14.4,0.07,2016
Auburn University,30.2,27.9,17.6,0.04,2016
Bauman Moscow State Technical University,44,15.6,4,0.04,2016
China Agricultural University,35.8,17.6,12,0.01,2016
Federal University of Rio de Janeiro,32.4,25.1,12.8,0.02,2016
Indian Institute of Technology Kanpur,33.1,16.4,12.2,0,2016
Jadavpur University,32.8,7.7,16.1,0,2016
Renmin University of China,34.7,40.1,12.7,0.06,2016
Tehran University of Medical Sciences,51.8,14.1,9,0.01,2016
Tianjin University,36.5,14.7,12.2,0.01,2016
Tokyo University of Agriculture and Technology,34.9,19.4,14.4,0.05,2016
University of Toledo,31.6,37.7,17.5,0.09,2016
Andhra University,34.8,7.2,20.2,0.03,2016
University of Bucharest,34.3,21.3,24.9,0.02,2016
University of Calcutta,34.7,13.1,32.5,0,2016
Federal University of Rio Grande do Sul,32.6,18.9,14.8,0.01,2016
Federal University of ViÌ_osa,39.7,15,11.4,0.03,2016
Juntendo University,32.3,16.7,3.7,0.01,2016
Moscow Institute of Physics and Technology,34.3,44.4,7,0.12,2016
Paris-Sorbonne University ‰ÛÒ Paris 4,31.1,44.2,27.4,0.21,2016
Savitribai Phule Pune University,38.3,17.3,14.6,0.03,2016
Tomsk State University,34.8,36.9,9.9,0.12,2016
